"job_title","job_link","job_type","job_category","posted","deadline","location","actual_job_title","company","job_status"
"Principal Examiners job at Institute of Certified Public Accountants of Rwanda (ICPAR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Principal-Examiners-job-at-Institute-of-Certified-Public-Accountants-of-Rwanda-ICPAR-39267","Full-Time","Accounting/ Finance","Posted: Today",2024-11-20,"Kigali","Principal Examiners job at Institute of Certified Public Accountants of Rwanda (ICPAR)","Institute of Certified Public Accountants of Rwanda (ICPAR)","Active"
"Embassy Officer in Charge of Trade, Investment, and Tourism Promotion  tender at Embassy of Rwanda, Seoul, Republic of Korea","https://www.greatrwandajobs.com/jobs/job-detail/job-Embassy-Officer-in-Charge-of-Trade,-Investment,-and-Tourism-Promotion-tender-at-Embassy-of-Rwanda,-Seoul,-Republic-of-Korea-39266","Full-Time","Tenders in Rwanda","Posted: Today",2024-11-29,"Kigali","Embassy Officer in Charge of Trade, Investment, and Tourism Promotion  tender at Embassy of Rwanda, Seoul, Republic of Korea","Embassy of Rwanda, Seoul, Republic of Korea","Active"
"Programme Manager job at SNV Rwanda","https://www.greatrwandajobs.com/jobs/job-detail/job-Programme-Manager-job-at-SNV-Rwanda-39265","Full-Time","Management","Posted: Today",2024-11-24,"Kigali","Programme Manager job at SNV Rwanda","SNV Rwanda","Active"
"Junior Finance Specialist job at GIZ Rwanda","https://www.greatrwandajobs.com/jobs/job-detail/job-Junior-Finance-Specialist-job-at-GIZ-Rwanda-39264","Full-Time","Administrative","Posted: Today",2024-11-22,"Kigali","Junior Finance Specialist job at GIZ Rwanda","GIZ Rwanda","Active"
"Safeguarding Intern job at Save the Children","https://www.greatrwandajobs.com/jobs/job-detail/job-Safeguarding-Intern-job-at-Save-the-Children-39263","Full-Time","Internships/ Trainee","Posted: Today",2024-11-19,"Kigali","Safeguarding Intern job at Save the Children","Save the Children","Active"
"Supervisory Public Health Specialist (Care and Treatment) Team Lead job at American Embassy Kigali","https://www.greatrwandajobs.com/jobs/job-detail/job-Supervisory-Public-Health-Specialist-Care-and-Treatment-Team-Lead-job-at-American-Embassy-Kigali-39262","Full-Time","Public Relations","Posted: Today",2024-11-29,"Kigali","Supervisory Public Health Specialist (Care and Treatment) Team Lead job at American Embassy Kigali","American Embassy Kigali","Active"
"Office, Sales and Marketing Assistant job at Shagasha Tea Company","https://www.greatrwandajobs.com/jobs/job-detail/job-Office,-Sales-and-Marketing-Assistant-job-at-Shagasha-Tea-Company-39261","Full-Time","Sales","Posted: Today",2024-11-14,"Kigali","Office, Sales and Marketing Assistant job at Shagasha Tea Company","Shagasha Tea Company","Active"
"Itangazo ry’Isokoryo Kugurira Abagenerwabikorwa 250 Imyenda yo Kurimbana tender at Bethesda Nyarubuye RW0911","https://www.greatrwandajobs.com/jobs/job-detail/job-Itangazo-ry’Isokoryo-Kugurira-Abagenerwabikorwa-250-Imyenda-yo-Kurimbana-tender-at-Bethesda-Nyarubuye-RW0911-39260","Full-Time","Tenders in Rwanda","Posted: Today",2024-11-17,"Kigali","Itangazo ry’Isokoryo Kugurira Abagenerwabikorwa 250 Imyenda yo Kurimbana tender at Bethesda Nyarubuye RW0911","Bethesda Nyarubuye RW0911","Active"
"Supplying Electronics Devices tender at FXB Rwanda","https://www.greatrwandajobs.com/jobs/job-detail/job-Supplying-Electronics-Devices-tender-at-FXB-Rwanda-39259","Full-Time","Tenders in Rwanda","Posted: Today",2024-11-14,"Kigali","Supplying Electronics Devices tender at FXB Rwanda","FXB Rwanda","Active"
"Evaluation Rwanda tender at Kolping International","https://www.greatrwandajobs.com/jobs/job-detail/job-Evaluation-Rwanda-tender-at-Kolping-International-39258","Full-Time","Tenders in Rwanda","Posted: Today",2024-11-24,"Kigali","Evaluation Rwanda tender at Kolping International","Kolping International","Active"
"Driver job at Cultivating New Frontiers in Agriculture (CNFA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Driver-job-at-Cultivating-New-Frontiers-in-Agriculture-CNFA-39257","Full-Time","Logistics/ Transportation/ Procurements","Posted: Today",2024-12-07,"Kigali","Driver job at Cultivating New Frontiers in Agriculture (CNFA)","Cultivating New Frontiers in Agriculture (CNFA)","Active"
"Project Coordinator job at Benishyaka","https://www.greatrwandajobs.com/jobs/job-detail/job-Project-Coordinator-job-at-Benishyaka-39256","Full-Time","Administrative","Posted: Today",2024-11-18,"Gasabo","Project Coordinator job at Benishyaka","Benishyaka","Active"
