job_role,question_id,question
Software Developer,1,Describe a project where you used an object-oriented programming language.
Software Developer,2,How do you ensure code quality and maintainability?
Software Developer,3,Explain the concept of polymorphism in programming.
Software Developer,4,What is the difference between a stack and a queue?
Software Developer,5,How do you approach debugging a complex application?
Software Developer,6,Explain the SOLID principles in software development.
Software Developer,7,Describe the process you use to test your code.
Software Developer,8,What is your experience with version control systems like Git?
Software Developer,9,Explain how garbage collection works in a programming language you know.
Software Developer,10,How do you manage and optimize memory usage in your applications?
Software Developer,11,"What are RESTful services, and how have you used them?"
Software Developer,12,Describe a situation where you had to refactor code.
Software Developer,13,What are some common security vulnerabilities in software development?
Software Developer,14,How do you handle tight deadlines while maintaining code quality?
Software Developer,15,What is the purpose of unit testing in software development?
Software Developer,16,Describe a challenge you faced in software development and how you resolved it.
Software Developer,17,"What are design patterns, and which ones have you used?"
Software Developer,18,Explain the difference between synchronous and asynchronous programming.
Software Developer,19,How would you optimize a slow-performing application?
Software Developer,20,Describe your experience with front-end and back-end development.
Data Scientist,21,Explain the difference between supervised and unsupervised learning.
Data Scientist,22,Describe a data science project you have worked on from start to finish.
Data Scientist,23,How do you handle missing data in a dataset?
Data Scientist,24,"What is overfitting, and how can it be prevented?"
Data Scientist,25,Explain the concept of a confusion matrix.
Data Scientist,26,Describe your experience with Python and R for data analysis.
Data Scientist,27,"What is feature selection, and why is it important?"
Data Scientist,28,How do you evaluate the performance of a machine learning model?
Data Scientist,29,Explain the difference between precision and recall.
Data Scientist,30,What is your approach to data cleaning?
Data Scientist,31,Describe a situation where you had to present complex data to a non-technical audience.
Data Scientist,32,Explain the purpose of A/B testing in data science.
Data Scientist,33,What is the difference between a parameter and a hyperparameter?
Data Scientist,34,How do you handle imbalanced datasets?
Data Scientist,35,"What is cross-validation, and why is it used?"
Data Scientist,36,Describe a time when your data analysis led to a key business decision.
Data Scientist,37,Explain the k-means clustering algorithm.
Data Scientist,38,What is your experience with SQL for data extraction?
Data Scientist,39,How do you stay updated with new developments in data science?
Data Scientist,40,Describe a challenging dataset you worked with and how you handled it.
Project Manager,41,Explain your experience with relevant software/tools.
Project Manager,42,Describe a challenging project you've worked on.
Project Manager,43,How do you troubleshoot technical issues?
Project Manager,44,Explain a recent technical problem you solved.
Project Manager,45,What technologies are you proficient in?
Project Manager,46,How do you stay updated on industry trends?
Project Manager,47,Walk me through your development process.
Project Manager,48,How do you handle performance issues?
Project Manager,49,What security measures do you implement?
Project Manager,50,Describe a time you optimized a process.
Project Manager,51,How do you handle conflict in a team?
Project Manager,52,Describe your communication style.
Project Manager,53,How do you manage stress?
Project Manager,54,Give an example of a time you showed leadership.
Project Manager,55,How do you handle feedback?
Project Manager,56,Describe a time you worked in a team.
Project Manager,57,What motivates you in your role?
Project Manager,58,How do you prioritize tasks?
Project Manager,59,Describe your approach to time management.
Project Manager,60,How do you balance work and personal life?
Product Manager,61,Explain your experience with relevant software/tools.
Product Manager,62,Describe a challenging project you've worked on.
Product Manager,63,How do you troubleshoot technical issues?
Product Manager,64,Explain a recent technical problem you solved.
Product Manager,65,What technologies are you proficient in?
Product Manager,66,How do you stay updated on industry trends?
Product Manager,67,Walk me through your development process.
Product Manager,68,How do you handle performance issues?
Product Manager,69,What security measures do you implement?
Product Manager,70,Describe a time you optimized a process.
Product Manager,71,How do you handle conflict in a team?
Product Manager,72,Describe your communication style.
Product Manager,73,How do you manage stress?
Product Manager,74,Give an example of a time you showed leadership.
Product Manager,75,How do you handle feedback?
Product Manager,76,Describe a time you worked in a team.
Product Manager,77,What motivates you in your role?
Product Manager,78,How do you prioritize tasks?
Product Manager,79,Describe your approach to time management.
Product Manager,80,How do you balance work and personal life?
Marketing Specialist,81,Explain your experience with relevant software/tools.
Marketing Specialist,82,Describe a challenging project you've worked on.
Marketing Specialist,83,How do you troubleshoot technical issues?
Marketing Specialist,84,Explain a recent technical problem you solved.
Marketing Specialist,85,What technologies are you proficient in?
Marketing Specialist,86,How do you stay updated on industry trends?
Marketing Specialist,87,Walk me through your development process.
Marketing Specialist,88,How do you handle performance issues?
Marketing Specialist,89,What security measures do you implement?
Marketing Specialist,90,Describe a time you optimized a process.
Marketing Specialist,91,How do you handle conflict in a team?
Marketing Specialist,92,Describe your communication style.
Marketing Specialist,93,How do you manage stress?
Marketing Specialist,94,Give an example of a time you showed leadership.
Marketing Specialist,95,How do you handle feedback?
Marketing Specialist,96,Describe a time you worked in a team.
Marketing Specialist,97,What motivates you in your role?
Marketing Specialist,98,How do you prioritize tasks?
Marketing Specialist,99,Describe your approach to time management.
Marketing Specialist,100,How do you balance work and personal life?
Business Analyst,101,Explain your experience with relevant software/tools.
Business Analyst,102,Describe a challenging project you've worked on.
Business Analyst,103,How do you troubleshoot technical issues?
Business Analyst,104,Explain a recent technical problem you solved.
Business Analyst,105,What technologies are you proficient in?
Business Analyst,106,How do you stay updated on industry trends?
Business Analyst,107,Walk me through your development process.
Business Analyst,108,How do you handle performance issues?
Business Analyst,109,What security measures do you implement?
Business Analyst,110,Describe a time you optimized a process.
Business Analyst,111,How do you handle conflict in a team?
Business Analyst,112,Describe your communication style.
Business Analyst,113,How do you manage stress?
Business Analyst,114,Give an example of a time you showed leadership.
Business Analyst,115,How do you handle feedback?
Business Analyst,116,Describe a time you worked in a team.
Business Analyst,117,What motivates you in your role?
Business Analyst,118,How do you prioritize tasks?
Business Analyst,119,Describe your approach to time management.
Business Analyst,120,How do you balance work and personal life?
Sales Manager,121,Explain your experience with relevant software/tools.
